Назва,Включити в генерацію,Фото товару,Перед,Зад,Перед низ,Зад низ,Доступні кольори,Всі кольори товару,Розміри,Постачальник,Базова ціна,Моя ціна,Артикул базовий,Бренд,Базовий опис,Категорія,Гендер,Роль в луці,Сезон,Матеріал,Стиль,Силует,Layer,Warmth,Insulation,Length,Neckline/Collar,Waist Rise,Texture/Sheen,Pattern,Луки 2,Луки 3,Луки 4,Луки,Дата додавання
В'язана жіноча кофта з блискавками,,Знімок екрана 2025-12-09 о 11.44.11.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/dIVFSnk1QI_lk_PozZAYCA/EJWuClVZtsESrUrGSUMA8nB8WBKIyF4WMqWUZ_FUqGjFAFUx-VJUAd1mU6hE0znyGlnbnAkVHG3JbLBnQ4n1X_toBDdjWMubvo-fv0A95DZt_Ei796pjmi_FJYFXvchCEuWUhr0EeUhLVxmpHz74Kph376iKSrytiFVrbuaWd7k/Dq3IRoA357LdDzqxQqaBzmi5aE0kywBeVRtmvHJQrI0),,,,,,"Бордовий,Ментоловий,Шоколадний,Графітовий",ONE SIZE,https://lurex.in.ua/uk/610-vjazanaja-zhenskaja-kofta-s-molnujamu,₴1175,,610,LUREX,"В’язана жіноча кофта виконана в однотонному дизайні та має вільний прямий крій, що дарує комфорт і стиль одночасно. Опущені пройми створюють модний relaxed-силует, а м’яка в’язка приємно лягає по фігурі.
Матеріал: В'язка.
Склад: 50% бавовна, 25% акрил, 23% нейлон, 2% еластан.
Країна: Китай.",Светри,Жінка,Верх,"Демісезон,Осінь","Бавовна,Акрил,Нейлон","Casual,Minimalist,Sport",Relaxed,Mid,Medium,None,Regular,Zip,,Structured,Solid,,,,,9.12.2025
Вільна мохерова кофта,,Знімок екрана 2025-12-09 о 11.49.11.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/gCaVvLPLIQ-o_lPZUzNTXg/0D9Ag7q9ZawUkknKwnLNS72b2FYEdtMV9ShO0UesDtxtdWHZpEeZpjjTOG9JCJShhAGDG3A6TdOF-sQVdeNmnbQpiAfKP-1ams8JC66wh7kbB7a_mNBtifZ_LhjhxYu_VLMr0jMf0c-Vkc3KQKZjI5tkSzlHPPP6jje-Ppa6spw/U9qM8f_TGKT4gsA21eM_CrH1PSgrFXGRy4Cn7a1SkFM),,,,,,"Мокко,Сірий,Теракотовий",ONE SIZE,https://lurex.in.ua/uk/2256-svobodnaja-moherovaja-kofta,₴1330,,2256,LUREX,"Вільна мохерова кофта — тепла, легка й надзвичайно комфортна модель для холодного сезону. М’яка пухнаста пряжа створює приємний об’єм і делікатну фактуру, завдяки чому кофта виглядає затишно та стильно.
Матеріал: В'язка.
Склад: 50% бавовна, 50% акрил.
Країна: Китай.",Светри,Жінка,Верх,Зима,"Бавовна,Акрил","Casual,Minimalist",Oversized,Mid,Warm,None,Long,Crew,,Soft-pile,Solid,Бургунді затишок,,,Бургунді затишок,9.12.2025
В'язана вільна кофта меланж,checked,Знімок екрана 2025-12-09 о 11.51.29.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/b70aZoEgYE3hZ2iY_Rmd5w/HuvuHGbPSZjHSx82XzZMuCoWRWEHR4zhwiwK_20o427gJV0k9w_zzRARc2nM_KmHfWSBznOlhi-_MdPuo1A8ULspNAPEbnK2ceVqAj-s8N6pkvQvGKbvOgomAkvpR0pBUXjdBveF0SGhjUDALNbS4msJE2HyLZC4u7y5bb4KBHo/a7vyCzIBt1VwCfrG15yJ9XYnXDgk2UW3bFpNLMd63zQ),"Instagram речі.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/I87YhxPwSQm_cglSf5TyOQ/vSWDZSiujZs_3foZabRgSNW-Lx8nqfRLECQFoYIy2cn8Lr-tZzJTnMr6hbl_e3gqUzMZxFWG1awYbpD6CxSbfvEFDQYwog7a9a1u_lFzQXZkrrf4FcJkwrRafM4WhHAylLyuQduzja9rijB19WGFmhAC5aGg5pkRiuMMxoCpwvQ/1lF_aS8D5LgpX6dJCgwXssFnN9YeOzms2YUfNiLV4Go),Mid shot Front.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/GSTrvD67U9AZ_b7a1cdIRw/OiGdTZqiGBVsScwS9aWJW-7uWxx7wK4Wi1SpTytk8QNcUp_kfSqeXPl5Mt15jXS0RAxobsFDbA7XIoBJGrx4EVrwgEiMDbu5Ri2F_PwCvChPuCnW7XTUOkZzuoH9aJ3CXQ5JTF78RF8QKHXj4Hq5dCUzkBRYf6KtQhH4UQcYDn8/IE1-yjOTR0NE-Izaa_0WXObU92XSzGfjT40E9pIIIBM)","Instagram речі-2.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/aQitJ0sp3nn3bWiemG_YsQ/Ey90yj1C6HXG329aUfM140Lv0PmkxiNWetTafoixNOt3L9J_N6rtXkFhE1-dww3n5NsdO1rLRhzRAKECKX60BsrhxErI91UrcYoYRs6AVDgTfTGFaKliJXsI54rIUA3UrN94NW2BhyVVCWBLm_rpU0ZlNB6afaOCGsblhUQD8Sc/NtMDTwZm8G6rCjNDdx5BUoRDUNgvaUhNaU3cWQ97yeA),Mid shot Back.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/zZvYMpjBDMdYbDDQHSMTsg/WorTpKjSoU5Yviz2lfes54nyIB_ZLJCEtrxGGCj-_Fqjqagip0pZ5e2z78bA2ok9ikIHEg2p5zC_CHLopywZQU5gDATC1i-TbKfGRteGmapFGHYu68EF2iRJJajH5MzdKLlydbB22Up46yucOHDKFGcsFOjWPj_1bsuFN5wR8CE/1r5k74b6FdEJVKPwkt77rpy_7k8AeCKiUfHABeE53Zw)","Instagram речі-1.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/eDn-0J19gi8rNRCV9SAjbA/hqUS9z9z54LxLoqobpVIaB66XHf6wr56WZLqmSj59HHVyzYl01HjTRlLhX4RnXMXf93FwY5GQrgz0UlTgcNjpJp1KtwEx7JhrdaC9VweafnHaFhIOV07DOFQppIXPmZr-koUPQjWKisnGISeydkTB4bQcntgoX8FgToj_9hgv48/pOi3PHONuT3do1zSYTWNTgtgmusSoBLGuhuh2Mrp6MQ),Lower-body crop Front.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/ine8cGKD24WZldmsalOIIQ/xBlS61RrN2BT4WZ_-WXHV7ogTkXElA3zbgKjfTnxWHAwXeve4BO02QvAhky-2t4cQ45M7DtTRGGr0PqSuc6SxRCK_mig6AK0YKvZWFgkabrvNhW3Tg0tvmo6g2sbtCfhAnvbegvXqrJVbaNli7_giMnQ6_h8mlAo3v4I02WM0zQ/9L1jMx6R7E9OuVEMqCXnRMBPmdVO1mVLiGLXEsw1s6E)","Instagram речі-3.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/a_ok1AaGik67SGQ7-ViAWw/17-jCMM99OLsvrsYpMJcY0Vkw3oQVFQ9bBbM3sfT06Re-OvX5cvyHcexenQOmYSj0vgbAif7oByu1SUWX4x15yQHVqmV0DU_kIoR-Ro4Dp8XTCGoZdmN9cQb5OEIXQEn177fgBvdu-sgy2jrnAN3o4Snw0i9pSaKblc4-37fTco/-AagJN1ODpH1eohism0W3kXs4NAFFV1PihSbe6tYfoE),Lower-body crop Back.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/sjByCL4EbyoPw4hkrIVl4Q/twOlQA9TGhPaMEnW7BNLwJstm7jgu2HyIk3bLYm8I970RhfGSmzqtlkP8wSWB1R3L1oS_O9Rp7OaP-7ZIjFHETShk0lDO0Hrm59LaECusNRSLzPX4rbguktAVElKcEBrhg6QeOpacQdNoPHmNKCxuwV3yFB8oM5SR9G4umFGgtY/mTAshAauenUXexiRZ64njYdrKV9y3qakqm13_oxvCow)",Коричневий,"Мокко,Коричневий,Сірий",ONE SIZE,https://lurex.in.ua/uk/638-vjazanaja-svobodnaja-kofta-melanzh,₴1030,,638,LUREX,"В’язана вільна кофта меланж — комфортна й стильна базова річ, яка підходить для щоденних образів. Модель виконана в прямому крої, що забезпечує легкість та невимушеність силуету.
Матеріал: В'язка.
Склад: 60% бавовна, 20% акрил, 15% вовна, 5% еластан.
Країна: Китай.",Светри,Жінка,Верх,"Зима,Осінь","Бавовна,Акрил,Вовна","Casual,Minimalist",Oversized,Mid,Medium,None,Regular,Crew,,Structured,Solid,"Мокко мінімалізм,Коричневий. Оливковий контур",,,"Мокко мінімалізм,Коричневий. Оливковий контур",9.12.2025
Спортивна еластична кофта на блискавці,checked,Знімок екрана 2025-12-09 о 11.53.08.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/hXABoKaZEEM78odGWuvPSw/SAbQrafD_WBERy3riIufFIzvQ2tNvDB6gp11JNIawg1EkDSoFadhSboEzzcNgRE59t_XAgIP31fU7chRp2QRj1lG6vKQNdMB0lBc5FvO4bnLz7HfXjRwC3lqsT_JavYEMdUGLoMxDP22s1L-QEhtyCYm1hlOH-Ub583RgzDgK10/DgtDdNszp1ThFPtI1mgUzofAyWewKoVcW_ORB11fVMU),,,,,"Бордовий,Чорний,Коричневий","Бордовий,Коричневий,Чорний","L,M,S",https://lurex.in.ua/uk/251071-sportuvnaja-elastuchnaja-kofta-na-molnuu,₴1165,,251071,LUREX,"Спортивна еластична кофта на блискавці створена з приємного до тіла біфлексу, який добре тягнеться та забезпечує комфорт під час руху. Модель має зручну горловину-стійку та застібається на акуратну блискавку, що додає виробу лаконічного спортивного стилю.
Спереду розташовані кишені на схованих блискавках — практичний і водночас стильний елемент, який дозволяє зберігати дрібниці під час активності.
Матеріал: Біфлекс.
Склад: 85% поліамід, 15% еластан.
Країна: Туреччина.",Кофта,Жінка,Верх,Демісезон,"Нейлон,Еластан","Sport,Casual",Fitted,Mid,Light,None,Regular,Zip,,Matte,Solid,,,,,9.12.2025
Замшева пишна спідниця довжини міді,checked,Знімок екрана 2025-12-09 о 11.54.46.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/iiZCJ7Rdi-jZBNiG3YW5oQ/ACIsOToiKif48jT3-6wvwp6ZmOJNJmkISbQBhXDfNvXrqzLeBUAZ1N9SDZjCbmfq5S6PO5PMX2ywg1qgdOfZEFxZKA2I4X-yJO2_nn5FHyHzozrj2HZx2jwZapyo8YVVPidw5OmjVz7eTcSLs35HJ4vpo1T91eYft6sGXOP7lwg/YINVXdEf83gGkfZk48_1gtUd0vHzd_2fQK1guYHMbtg),Instagram речі.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/E3xvl3QSwPYvrdVP6iodqA/LguyobRmJYAsOuAhJQXscLZziEn1xwya0Y4PUG5vQtaWzqc1K4iXzfEbK5HY3QE2PVu9sMOZLJEAS8leMmTRRRU_brHRAtKJz980knIwPiev4FTnFMFyA6bBt2FSH1RSfpwgAhJbfMJRsF5_auJGl_pbztvb9-4nqf1gxmJs3fM/p8Jce5rI7KnnbJZFb0_J2pjjzEMDdHsn7cq_D7y_tEE),Instagram речі-2.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/GAW2Px0DEKlWjvwBvOS-1g/MaR2_YtDcNcCqp_6qMnM3gdfjf5luVFpMRvV2rm7Z9g0qZBDLpOekPgz_1hUYIEai3bgNQb5hEJbuJvSnGlttStvJbnJ_5FnQnWP2j1-a-gywl2SWWiLcflS9yKnRs9ft_E1YDiHYppKPls03fKGz3Tn5cXyKO1H9FUKS7AzjC4/tcNDJneNzPNKpRV7qX7NGipe9d2r1wCl-VR5v5jz1wc),Instagram речі-1.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/xY3imvVq1Aws3mNLvAj-tQ/1uUXYoEfV4Mt5k_TD0Od04heTn4WzIRxgc_XNDrlwWjCoirvGa0p5p4wkB6cshnADnAozwDFFSCguRKo4zyzz7l1q71vciXR44-HmfOka6DskGrt2K3SIXwqT3iN-GUKTvzQ_DJvBZA8yfjwrvVkNFWkh46qxofUx-5xWPLfbug/vXxEPnanpd4Pp5SIHqTjnWaBI5hlD4A-_fS6MfExtj4),Instagram речі-3.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/DbYwW8-FF0IwfFeKQKlWuQ/FZRsEoGDQAVFuOW1XeVnYPviSGyB3jKSPY_42nRpunPjFlf7kK-v3Sbhqtn15OTDT2z-pqi77FyKRyTmueeKnt8HdbUEpgmRIqppbvXzhj4EiQhuQU1OnQWjjp9RsxE-CZlgu5c5YLrdGXIp6kW28b_42YLyMFeS-_4qEwvfnLY/DgrlaOclkkVR1yqjMr1kdQkr9O3TNFQt53K5NkCZrzI),Коричневий,Коричневий,"L,M,S",https://lurex.in.ua/uk/14324-zamshevaja-pushnaja-yubka-dlunu-mudu,₴1173,,14324,LUREX,"Замшева міді спідниця — ефектна та жіночна модель з акцентом на силует. Пишний фасон формується завдяки глибоким складкам, які красиво тримають форму та додають об’єму.
Матеріал: Штучна замша.
Склад: 95% поліестер, 5%  эластан.
Країна: Туреччина.",Спідниці,Жінка,Низ,"Осінь,Зима","Екозамша,Поліестер,Еластан","Romantic,Business Casual,Casual",Relaxed,Base,Medium,None,Midi,,High,Soft-pile,Solid,,"Замшева елегантність,Бургунді + замша",,"Замшева елегантність,Бургунді + замша",9.12.2025
Спортивні штани палаццо з накладною кишенею,checked,Знімок екрана 2025-12-09 о 11.56.07.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/S_LcGLzbnWyBNJ_SEO0C7A/J5wKXAD-0Kimt8Eq2XS9kjt9ihFg9HuS_93nsuXBAYZe8on7rzBKBb-SeYQVgLs4pxFaefldex5ku539oe7pNN51xrbuY6B6U8sYO7-iRc3htbDexrOd3qlH_xa62dFxnQ0pGvHOD_ppWgoeqNHVBsv6lLju1E0vtdW185mcHmM/Rn44LywzmMW0AKfnZ7HykHT5_erGxGM75iqi-MzunCs),,,,,Сірий,"Сірий,Шоколадний,Чорний","L,M",https://lurex.in.ua/uk/7117-sportuvnue-shtanu-palacco-s-nakladnum-karmanom,₴1260,,7117,LUREX,"Спортивні штани палаццо виконані в сучасному вільному фасоні, що поєднує комфорт і стиль. Модель має еластичний пояс із зав’язками, завдяки чому штани зручно регулюються по талії та ідеально сідають по фігурі.
Спереду передбачені врізні бічні кишені, а також одна накладна кишеня, яка додає виробу трендовості та спортивного характеру.
Матеріал: Трикотаж 3-нитка з начосом.
Склад: 100% бавовна.
Країна: Китай.",Штани,Жінка,Низ,"Зима,Осінь,Весна","Бавовна,Трикотаж","Sport,Casual",Oversized,Base,Warm,None,Long,,Mid,Soft-pile,Solid,,,,,9.12.2025
Трикотажний однотонний лонг із переплетом,checked,80110-45_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/j8lATOA1Rm2xifRU1Pk86Q/RZCmrUuVdKBnv6M9QeGdCzU09jajOyK27qrlDbjTi6SwcIGkFdTKvZLEVR7Ox2qRgY-KGDsTGxUQpkh0pXuVIC5yNEjaVdIw-kUtjJU7ejf7mAa4NoUdAnhLkXym7KtJg9gI6NULkxOUATh1lxSd7Q/fGW6RCVpYcsFcVzsyZC-JIVqomoFAgA_0DdmyBmTnNc),Instagram речі.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/E3xvl3QSwPYvrdVP6iodqA/LguyobRmJYAsOuAhJQXscLZziEn1xwya0Y4PUG5vQtaWzqc1K4iXzfEbK5HY3QE2PVu9sMOZLJEAS8leMmTRRRU_brHRAtKJz980knIwPiev4FTnFMFyA6bBt2FSH1RSfpwgAhJbfMJRsF5_auJGl_pbztvb9-4nqf1gxmJs3fM/p8Jce5rI7KnnbJZFb0_J2pjjzEMDdHsn7cq_D7y_tEE),Instagram речі-2.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/GAW2Px0DEKlWjvwBvOS-1g/MaR2_YtDcNcCqp_6qMnM3gdfjf5luVFpMRvV2rm7Z9g0qZBDLpOekPgz_1hUYIEai3bgNQb5hEJbuJvSnGlttStvJbnJ_5FnQnWP2j1-a-gywl2SWWiLcflS9yKnRs9ft_E1YDiHYppKPls03fKGz3Tn5cXyKO1H9FUKS7AzjC4/tcNDJneNzPNKpRV7qX7NGipe9d2r1wCl-VR5v5jz1wc),Instagram речі-1.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/xY3imvVq1Aws3mNLvAj-tQ/1uUXYoEfV4Mt5k_TD0Od04heTn4WzIRxgc_XNDrlwWjCoirvGa0p5p4wkB6cshnADnAozwDFFSCguRKo4zyzz7l1q71vciXR44-HmfOka6DskGrt2K3SIXwqT3iN-GUKTvzQ_DJvBZA8yfjwrvVkNFWkh46qxofUx-5xWPLfbug/vXxEPnanpd4Pp5SIHqTjnWaBI5hlD4A-_fS6MfExtj4),Instagram речі-3.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/DbYwW8-FF0IwfFeKQKlWuQ/FZRsEoGDQAVFuOW1XeVnYPviSGyB3jKSPY_42nRpunPjFlf7kK-v3Sbhqtn15OTDT2z-pqi77FyKRyTmueeKnt8HdbUEpgmRIqppbvXzhj4EiQhuQU1OnQWjjp9RsxE-CZlgu5c5YLrdGXIp6kW28b_42YLyMFeS-_4qEwvfnLY/DgrlaOclkkVR1yqjMr1kdQkr9O3TNFQt53K5NkCZrzI),"Коричневий,Сірий","Фіолетовий,Бордовий,Коричневий,Сірий",ONE SIZE,https://lurex.in.ua/uk/80110-trukotazhnuj-odnotonnuj-long-s-perepletom,₴765,,80110,Lurex,"Трикотажний однотонний лонг із переплетом — стильна та жіночна модель, що красиво підкреслює фігуру. Він виконаний із м’якого еластичного трикотажу з ніжним до шкіри виворотом, завдяки чому комфортно прилягає та приємно відчувається протягом дня.
Висока горловина-стійка додає образу елегантності та забезпечує відчуття затишку.
Матеріал: Трикотаж.
Склад: 95% бавовна, 5% еластан.
Країна: Китай.",Лонг,Жінка,Верх,"Демісезон,Осінь","Бавовна,Еластан,Трикотаж","Casual,Streetwear,Minimalist",Fitted,Base,Light,None,Regular,Turtleneck,,Matte,Solid,Бургунді + замша,,,Бургунді + замша,9.12.2025
Однотонний еластичний лонг,checked,Знімок екрана 2025-12-09 о 12.17.06.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/4yluaAl-DtG4T9Xay-w2wQ/-sTxglDgZz1h4aSpcwILtKbr3CYrBK-lyyAspWVW_NX-YNDw1k2YMiiJd2yETFmztRsvLPYzPS0qNFbcmqhBFXqHSe87oMJQPWb_xf18GTZO18DGbTXmIUCMe7dtdF8iAcH-rpYM4wWhl73tWehC8sbDb22KTw8eArBTb6Qw5os/7RuUFehOdPGPP_mPeEdx0cIINfXISWwaxBD_Ybsw8z4),Instagram речі.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/eftLhLQj4WL10sQick9ulw/i-3jqKAc9722zZbFHZAdvBOZX4RhJW7IJ3Qj4xGK-6Y8mbp7lbTeRCZu0VU5xXanSf9mtPDdbBP55WQJKEDa6YXNAO71_9wZBXCrm2QyRnzD6HMgYVeHYFA_PS8HPBliKiHGWAY3uU9ZpDp9cuvsrA__xcjXLFMXbsqfA2aSio4/B0IW9beXl5V6lS0P6E10cxF_dFbeoh-meLfGRV5HvTI),Instagram речі-2.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/X79MHTx9aTT7sexTxOkfoA/gvEaEOKiMZcpdXN_QUSaxmAVnqXwU0D_74DY1Vtg7ks6V0lFFgZcbZwuU7xdOUvZaiYSY_Ev-gqvnuUoSaCkrtKm4syi-Pl2HlgXhnMPGMBwYSZy9h1Zgbw0PKVZ9mPFeYz-OeeywZpiJBoKnInXC_STBeLv2yLhHwm0JiKBNdY/Go07dbwGuWq_LA-OlbvlW1AppFoqrUrbxWzncF2KIqw),Instagram речі-1.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/IRc_1hFdX8D2T2sEczzx0g/iFbvJtS7ZLcv8in-UNYJnEtS2gn3WMF9S5WqnJJAGdXMAyxSmhWZLbM5EqQyXTjvF9EeWWV7wJA8PZ21lXlRY_8yPV_emIT8VpkFPBbVh0rh0ChDYlURXxPFCDW_cx5LQmXvnns1lf4tN8dglzhhqhdlqs4V7TI0obV-_Dc5uy0/ycM0WySV-Qn5fMliCNsPIzlpc1Jh14eG8d13PNhQEp4),Instagram речі-3.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/9omkYGcvnDy1zEuRROyacw/SX2fAPJG1THicZzHiGYB1w1h34KUodg9nJoIq1vHQNGfoT7JYjmYlvBo1vf5ecNcLZbFCCBrlYYKlTh7Gpe9KctkLQ6G9cO3_xeBoh2Drv3EuBSYpzdKshYWMx1J4HB4Be2ZWU8JC-7Vn8u1mK91XZra82aSwWUdUGESlbweC-M/W1ZCSORcEg2rwsTd1Gn_ek19-ymlFzM0A1w9MEVmm1o),"Молочний,Червоний","Мокко,Молочний,Шоколадний,Хакі,Червоний,Чорний","L,M,S",https://lurex.in.ua/uk/5068-odnotonnuj-elastuchnuj-long,₴870,,5068,Lurex,"Однотонний еластичний лонг — базова річ, що підкреслює фігуру та дарує максимальний комфорт щодня. Виготовлений із тонкого еластичного трикотажу, він м’яко облягає тіло, не обмежуючи рухів і зберігаючи форму навіть після багаторазових прань.
Модель має приталений крій із довгими рукавами та прямим низом, а акуратна кругла горловина додає виробу лаконічності й універсальності.
Матеріал: Трикотаж.
Склад: 92% віскоза, 8% еластан.
Країна: Туреччина.",Лонг,Жінка,Верх,Демісезон,"Бавовна,Еластан,Трикотаж","Casual,Minimalist",Fitted,Base,Light,None,Regular,Crew,,Matte,Solid,Вогняний casual,,,Вогняний casual,9.12.2025
Трикотажні лосини з начосом,,Знімок екрана 2025-12-09 о 12.52.26.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/dVnH8FPsST-HrtIWb0fiOg/Aj0loF3yAy_exp13QUo--nPrQbSGWwYvk4vczk5XLp9rtOkIrG7gF0FMrAcKON-3bRPWDiXVhTDN1Uv3Hr3LAn1DbiZZsrVZBL9VvppBBQH35hc9fn6r4d4Tley22QZPFThs0eA_x2Bv8F6xOCgSO5cuzv0vMewCqt40AZvC6G0/IJ-ERujslvFaKWPGFWQI16zaJ2cit5Wd-gre66mrEhc),,,,,,"Коричневий,Сірий,Чорний",ONE SIZE,https://lurex.in.ua/uk/6125-trukotazhnue-losunu-s-nachesom,₴830,,6125,LUREX,"Трикотажні лосини з начосом — ідеальний вибір для холодного сезону. Вони виготовлені з м’якої, дуже еластичної тканини, що приємно облягає фігуру та забезпечує максимальний комфорт у щоденному носінні.
Матеріал: Трикотаж з начосом.
Склад: 70% бавовна, 30% акрил.
Країна: Китай.",Штани,Жінка,Низ,"Зима,Осінь","Бавовна,Акрил,Трикотаж","Casual,Minimalist",Fitted,Base,Warm,Insulated,Long,,Mid,Matte,Solid,,Бургунді затишок,,Бургунді затишок,9.12.2025
Приталений лонг на блискавці,checked,Знімок екрана 2025-12-09 о 12.52.48.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/Q1C8UjrPKskgnxD4tLVOVQ/SaCVxYfNu5f2kgCBgAMYJB5KDn-At5sxwr9dbeDnSHt9hyOnw0UI7QqNQKzUkWF14xLVyBhXBOHMne45p-wKUnr_QLkzilqOvPk0MNEXoQel_rNEpYV6xLQBumaCWkxHR8EPWXjRXkb4PpPExOOXy5TjzS1ZTMC-wNE5yV4Xrpo/gdsA_D-npCVt9jb9rpkJiR4OaSQoznVMGEiVaI_-dIA),,,,,"Коричневий,Чорний,Молочний","Коричневий,Молочний,Чорний","L,M,S,XL",https://lurex.in.ua/uk/17141-prutalennuj-long-na-molnuu,₴855,,17141,LUREX,"Приталений лонг на блискавці — універсальна та стильна базова річ, яка підкреслює силует і забезпечує комфорт у носінні. Модель виконана з приємної еластичної тканини, що м’яко облягає тіло та добре тримає форму.
Однотонний дизайн робить виріб легкою основою для різних образів. Кругла горловина та довгі рукави створюють лаконічний силует, а пряма лінія низу дозволяє зручно комбінувати лонгслів із джинсами, штанами чи спідницями.
Матеріал: Трикотаж.
Склад: 96% бавовна, 4% еластан.
Країна: Туреччина.",Лонг,Жінка,Верх,"Демісезон,Весна,Осінь","Бавовна,Еластан","Casual,Minimalist",Fitted,Base,Light,None,Regular,Zip,,Matte,Solid,Замшева елегантність,,,Замшева елегантність,9.12.2025
Жіноча в'язана туніка з високою горловиною,checked,Знімок екрана 2025-12-09 о 13.15.02.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/OKp5ug7Aony714mJlIeDgA/abyU8mUbiZTxov605VidUeF5T8rw5Gdh9XFVZeZcVx-cD2LoVP68phzQ-mNQmEl0cqnjAQ5p_xIM-9DqS7LwsW68-WjVmCR3uBc_UygSZvovb645UUb0sruglMc_fbwlhuKwMayy17PUzMTnhV5ODttahY1G4E8drhwKPxS1jAE/QvtIcpE12JusNmlEwd47iyJvbclaF8vzJ2FZnqKCA5w),Instagram речі.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/3AmPnq00RJ6PePqwhv_UwQ/jfxhc42sdDubJfSP__IOo30GkZ0cytCbRRjCSEPCxKynNNhQXmDwtV_Nx6kp5fsD5mVxDcFJHuM20EgcBk38GkWwq4d4B8wcJ1QcKcB1r75TqtJdx0-o9C7fkFr6Q_19jbqWfTYAVF4FnhFYRnTMsGJWhOp97CeFtmweQQyDE4E/z7VL4RRzSLXvvQ-VGSXUKESGtv7AuLGMDm1B-PHkNHU),Instagram речі-2.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/tUkK-P0jfuFHl92Y86SDDA/8dXG8EOE0JPHQdSvk-wMaXAJXnHXw4KArPS9G57qP19aX-v7k3IyRyv20KJDGe_expJgdPkoyoT2skp52PZpqzY8LZL8crzR6WmtMBTTCiOcF3315PsOGz7lNYlbCerKXkrNEdtCPD7Zgb7EIp-N5vTDkQ7z5wfl6MbWknvH5Lo/GlS-r2bfmdkXKvGDj0WhPhXuQNFBM6G0M6DfJEhPfaQ),Instagram речі-1.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/u3TXVuPfBPkCcuXkZ1HbLg/7JBbGEzHuGSa-d6CUoJJAGtRkqHDWW-BjYFziujLSzo6N5b0elo2qtBlbQof_mEjizvRB2gze4JKSwg-UxVwFW6M4ngqgjzgomfIZaY4JDqENUX7fUL_Z64he6RCebxiigXkqxArSJsx-wbtQZ0FAN75rLJf_oMTH3ij1MJwW-E/nVJxFKAk6Df2Kb7KYSfTclvTP7rKqqGZxHhP9OI4NPc),Instagram речі-3.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/wbY4sc6tFy9CaZt9A_lFsQ/C0eVsFady6dJo6UX5qlbq1aYOwyzfGotwtywYqxQD8BpMxsY8WpJ_j_vjQVCScL7qE9834MmIeXm273seDVg-eq2evsfqNRd0-2bEAdprGXyhyR81zHRDu69TacZB6M-x5batz2Zb-yRb_mQ9kahH-1RokDvQnRraQf0kQCBEdA/FMFW-nDCMgz3SPyGxmqwmQIglKU9At-_TwIzylrH9FA),"Бордовий,Молочний,Сірий","Бордовий,Коричневий,Молочний,Сірий",ONE SIZE,https://lurex.in.ua/uk/51110-zhenskaja-vjazanaja-tynuka-s-vusokoj-gorlovunoj,₴1625,,51110,LUREX,"В’язана жіноча туніка з високою горловиною — комфортна та стильна річ для прохолодного сезону. Модель виконана з м’якої приємної пряжі, що дарує затишок і тепло протягом дня.
Матеріал: В'язка.
Склад: 77% акрил, 23% поліестер.
Країна: Туреччина.",Кофта,Жінка,Верх,"Демісезон,Осінь,Зима","Акрил,Поліестер",Casual,Relaxed,Mid,Warm,None,Long,Turtleneck,,Structured,Solid,Червона грація,,,Червона грація,9.12.2025
